postsNum,followersNum,followingNum,hasLocation,AtUserNum,AtUserPostsNum,AtUserFollowerNum,AtUserFollowingNum,hashTagNum,hashTagPostsNum,likeNum
1835,230000,120,0,0,0,0,0,0,0,2068
385,113000,257,0,5,1629,339536,1276,2,0,1010
385,113000,257,0,1,133,32,117,1,0,10341
385,113000,257,0,5,3717,482150,2322,3,0,870
385,113000,257,1,5,1540,452000,1028,0,0,2494
385,113000,257,0,2,3130,392200,489,2,0,648
385,113000,257,0,8,4974,786842,3103,1,0,3459
385,113000,257,0,11,9465,1548986,6192,1,0,3528
385,113000,257,0,2,4211,1300003,282,1,0,876
385,113000,257,0,4,1328,226983,2082,1,0,1342
385,113000,257,0,4,1271,226332,1006,0,0,3210
385,113000,257,0,1,2047,187,399,0,0,3265
385,113000,257,0,1,474,536,505,1,0,1806
385,113000,257,0,2,757,771,1254,1,0,3278
385,113000,257,1,8,2496,114998,3487,7,0,3325
385,113000,257,0,3,1155,339000,771,1,0,1583
385,113000,257,0,1,1758,51900,954,1,0,1071
385,113000,257,0,19,5370,345568,9854,1,0,4325
385,113000,257,0,6,4341,972602,3385,1,0,4196
385,113000,257,0,4,1351,339450,1316,0,0,1942
385,113000,257,0,2,1126,107479,1259,1,0,3199
385,113000,257,0,2,510,113290,855,1,0,4302
385,113000,257,0,25,8304,119818,17441,1,0,3745
385,113000,257,0,2,385,113000,257,1,0,2983
385,113000,257,0,5,3512,2002502,5895,0,0,2674
385,113000,257,0,4,1230,415600,877,1,0,1749
385,113000,257,0,8,10447,3574,4948,2,0,5130
385,113000,257,0,4,3507,14514186,1223,0,0,3994
5389,59100000,468,0,4,7020,61600861,1859,1,0,377169
5389,59100000,468,0,1,886,182,292,4,0,138701
5389,59100000,468,0,3,16167,177300000,1404,3,0,203791
5389,59100000,468,0,3,5549,61200593,5126,1,0,196740
5389,59100000,468,0,7,26547,342916168,5502,2,0,279792
5389,59100000,468,0,5,18405,120900472,7195,3,0,362594
5389,59100000,468,0,3,14349,224200000,1177,2,0,243520
5389,59100000,468,0,6,16581,177301145,2320,4,0,178412
5389,59100000,468,0,11,23673,179045092,4457,4,0,311398
5389,59100000,468,0,8,22310,236401610,4316,2,0,673525
5389,59100000,468,0,20,81045,408355184,44866,2,0,255271
5389,59100000,468,0,7,5222,174664,14672,3,0,650300
5389,59100000,468,0,3,8318,2819042,7041,3,0,782826
5389,59100000,468,0,12,32860,295544929,8632,5,0,288764
5389,59100000,468,0,8,204,773,1614,3,0,673214
5389,59100000,468,0,3,1605,2507934,6407,3,0,932621
5389,59100000,468,0,10,28461,295517583,10198,4,0,121651
5389,59100000,468,0,14,38051,181750052,12279,5,0,173712
5389,59100000,468,0,5,7713,59117831,8321,4,0,280874
5389,59100000,468,0,4,6810,59101656,2409,3,0,790230
10499,4300000,474,1,10,941,108027216,4847,0,0,59559
10499,4300000,474,0,6,22962,8610946,2624,1,0,23089
10499,4300000,474,0,4,89,666,1696,1,0,101752
10499,4300000,474,0,8,14418,21962421,3044,1,0,32955
10499,4300000,474,0,7,3411,68511028,1913,1,0,91056
10499,4300000,474,0,6,3439,42119,10104,1,0,13550
