user	postsNum	followersNum	followingNum	hasLocation	AtUserNum	AtUserPostsNum	AtUserFollowerNum	AtUserFollowingNum	hashTagNum	hashTagPostsNum	likeNum
alexilubomirski	1,787	188k	1,178	0	3	1,787;1,787;1,787;	188k;188k;188k;	1,178;1,178;1,178;	0		5,419
alexilubomirski	1,787	188k	1,178	0	7	453;1,787;298;695;580;353;12;	8,669;188k;663;579;11.1k;4,869;816;	1;1,178;585;943;1,703;1,196;7,505;	2	182,4581,182,212	26,419
alexilubomirski	1,787	188k	1,178	0	8	1,426;6,089;311;6,089;1,787;1,426;1,426;1,426;	18k;533k;1,131;533k;188k;18k;18k;18k;	2,134;450;308;450;1,178;2,134;2,134;2,134;	4	1761114,87754,732	449
alexilubomirski	1,787	188k	1,178	0	4	493;1,824;1,824;1,787;	7,045;782;782;188k;	908;780;780;1,178;	1	8,354,241	5,132
alexilubomirski	1,787	188k	1,178	0	6	3,341;1,787;1,571;115;1,787;1,787;	2.9m;188k;1,708;723;188k;188k;	315;1,178;657;616;1,178;1,178;	2	41496,605	5,428
alexilubomirski	1,787	188k	1,178	0	3	544;544;1,787;	2,068;2,068;188k;	142;142;1,178;	10	324,388,00616,242,345133,542,31910,588,452114,6612,991,1827,282,79331,735,90624,124,363	949
shekukannehmason	170	104k	98	1	4	240;170;240;19;	25k;104k;25k;836;	496;98;496;1,096;	6	1,182,25740241,182,2606461,394	30,465
shekukannehmason	170	104k	98	1	3	5,498;170;1,684;	2,177;104k;256;	3,884;98;314;	1	1,182,266	32,634
shekukannehmason	170	104k	98	1	5	3,034;1,447;893;3,675;170;	341k;220k;751;1,287;104k;	147;2,237;258;1,200;98;	2	1,182,266707,750	25,422
shekukannehmason	170	104k	98	1	7	170;432;78;541;170;103;1,819;	104k;723;288;527;104k;477;626;	98;1,274;493;553;98;585;1,062;	1	1,182,272	23,083
shekukannehmason	170	104k	98	0	6	15;17;2;95;3,675;25;	458;715;1,055;515;1,287;996;	166;298;166;2,925;1,200;488;	0		15,257
shekukannehmason	170	104k	98	1	10	4,627;170;8;4;170;2;808;1,612;46;337;	154k;104k;218;155;104k;161;111k;590;137;1,517;	7;98;326;1,028;98;407;2,177;633;10;967;	4	2061,030,22358,93874,673	4,217
shekukannehmason	170	104k	98	0	11	170;22;3;24;389;458;19;3,998;0;0;6;	104k;231;601;327;821;1,572;344;54.5k;199;181;102;	98;59;136;337;720;874;328;1,657;468;215;263;	1	418	3,319
shekukannehmason	170	104k	98	0	9	371;2;170;141;343;93;21;412;1,012;	1,459;38;104k;417;293;571;616;648;299;	147;63;98;406;483;851;515;758;1,089;	1	9	1,387
shekukannehmason	170	104k	98	1	11	1,363;170;82;61;176;15;176;15;24;14;14;	4.9m;104k;1,190;51;324;280;324;280;575;576;576;	81;98;1,255;88;291;293;291;293;573;766;766;	1	1,182,312	5,804
benmjones	397	7,639	415	1	4	634;15;154;87;	15.2k;586;686;2,140;	320;281;239;261;	5	3,412,7034,993489,446522,44171	967
benmjones	397	7,639	415	1	5	634;87;154;15;128;	15.2k;2,140;686;586;875;	320;261;239;281;1,389;	6	4,993489,446522,4413,412,7037110,524	655
benmjones	397	7,639	415	1	4	634;87;397;93;	15.2k;2,140;7,639;928;	320;261;415;988;	7	14654,4163,412,7054,993522,44119,9417,709,199	1,597
benmjones	397	7,639	415	1	7	15;87;634;153;128;116;128;	586;2,140;15.2k;686;875;465;542;	281;261;320;239;1,389;368;629;	7	62,988489,4464,993122,866522,4413,412,707108,272	814
